id,name,code,parent_id/id,type,user_type/id,reconcile
0,Chart of Account – HWF,0,,View,account.data_account_type_root_view,FALSE
1,Statement of Financial Position,1,0,View,account.data_account_type_root_view,FALSE
1000,Assets - สินทรัพย์,1000,1,View,account.data_account_type_view,FALSE
1100,Current Assets - สินทรัพย์หมุนเวียน,1100,1000,View,account.data_account_type_view,FALSE
1110,Cash and Cash equivalents - เงินสดและรายการเทียบเท่าเงินสด,1110,1100,View,account.data_account_type_view,FALSE
1111,Petty Cash - เงินสด,1111,1110,View,account.data_account_type_view,FALSE
1112,Petty Cash HWFTH - เงินสด HWFTH,1112,1110,Liquidity,account.data_account_type_cash,FALSE
1113,Petty Cash HoGI - เงินสด HoGI,1113,1110,Liquidity,account.data_account_type_cash,FALSE
1120,Bank – Saving Accounts - เงินฝากออมทรัพย์,1120,1100,View,account.data_account_type_view,FALSE
1121,KBank HWFTH -212-2-67133-2 เงินฝากออมทรัพย์ธนาคารกสิกรไทย,1121,1120,Liquidity,account.data_account_type_bank,FALSE
1122,KBank HoGI -212-2-83678-1 เงินฝากออมทรัพย์ธนาคารกสิกรไทย,1122,1120,Liquidity,account.data_account_type_bank,FALSE
1123,KBank ThaiHealthFund (สสส)-212-2-82793-6 เงินฝากออมทรัพย์ธนาคารกสิกรไทย,1123,1120,Liquidity,account.data_account_type_bank,FALSE
1125,Bank in Transit - บัญชีธนาคารระหว่างทาง,1125,1120,Regular,account.data_account_type_bank,FALSE
1140,Trade and Other Receivables - ลูกหนี้การค้าและตั๋วเงินรับ,1140,1100,View,account.data_account_type_view,FALSE
1141,Trade Accounts Receivable - ลูกหนี้การค้า,1141,1140,Receivable,account.data_account_type_receivable,TRUE
1142,Allowance for Doubtful Account - ค่าเผื่อหนี้สงสัยจะสูญ,1142,1140,Regular,account.data_account_type_receivable,FALSE
1150,Other Current Assets - สินทรัพย์หมุนเวียนอื่น,1150,1100,View,account.data_account_type_view,FALSE
1151,Advance to others เงินทดรองจ่าย/เงินให้ยืม,1151,1150,Regular,account.data_account_type_current_assets,FALSE
1152,Credit HWFTH to HoGI - เงินให้ HoGI ยืม,1152,1150,Regular,account.data_account_type_current_assets,FALSE
